Weight,Age,Height,level
64.0,21.0,1.62,2
56.0,21.0,1.52,2
77.0,23.0,1.8,2
87.0,27.0,1.8,3
89.8,22.0,1.78,3
53.0,29.0,1.62,2
55.0,23.0,1.5,2
53.0,22.0,1.64,2
64.0,24.0,1.78,2
68.0,22.0,1.72,2
105.0,26.0,1.85,4
80.0,21.0,1.72,3
56.0,22.0,1.65,2
99.0,41.0,1.8,4
60.0,23.0,1.77,2
66.0,22.0,1.7,2
102.0,27.0,1.93,3
78.0,29.0,1.53,4
82.0,30.0,1.71,3
70.0,23.0,1.65,3
80.0,22.0,1.65,3
87.0,52.0,1.69,4
60.0,22.0,1.65,2
82.0,22.0,1.6,4
68.0,21.0,1.85,2
50.0,20.0,1.6,2
65.0,21.0,1.7,2
52.0,23.0,1.6,2
76.0,19.0,1.75,2
70.0,23.0,1.68,2
83.0,29.0,1.77,3
68.0,31.0,1.58,3
76.0,24.0,1.77,2
90.0,39.0,1.79,3
62.0,22.0,1.65,2
65.0,21.0,1.5,3
49.0,22.0,1.56,2
48.0,21.0,1.6,2
67.0,23.0,1.65,2
88.0,21.0,1.75,3
75.0,21.0,1.67,3
60.0,23.0,1.68,2
64.0,21.0,1.66,2
62.0,21.0,1.66,2
80.0,21.0,1.81,2
65.0,21.0,1.53,3
72.0,21.0,1.82,2
72.0,21.0,1.75,2
60.0,20.0,1.66,2
50.0,21.0,1.55,2
54.5,21.0,1.61,2
44.0,20.0,1.5,2
52.0,23.0,1.64,2
55.0,23.0,1.63,2
55.0,22.0,1.6,2
62.0,23.0,1.68,2
70.0,22.0,1.7,2
65.0,21.0,1.64,2
67.0,17.0,1.65,2
55.0,20.0,1.76,1
49.0,21.0,1.55,2
58.0,20.0,1.65,2
62.0,22.0,1.67,2
55.0,22.0,1.68,2
57.0,21.0,1.66,2
69.0,21.0,1.62,3
90.0,23.0,1.8,3
95.0,23.0,1.65,4
112.0,30.0,1.76,4
60.0,23.0,1.8,2
80.0,23.0,1.65,3
50.0,22.0,1.67,1
60.0,24.0,1.65,2
65.0,19.0,1.85,2
85.0,24.0,1.7,3
45.0,23.0,1.63,1
45.0,24.0,1.6,1
80.0,24.0,1.7,3
90.0,23.0,1.65,4
60.0,23.0,1.65,2
58.0,19.0,1.63,2
91.0,30.0,1.8,3
85.5,23.0,1.67,4
45.0,19.0,1.6,1
83.0,25.0,1.7,3
58.5,23.0,1.65,2
83.0,21.0,1.85,2
87.0,19.0,1.82,3
65.0,22.0,1.65,2
78.0,29.0,1.7,3
93.0,25.0,1.63,4
64.0,20.0,1.61,2
84.0,55.0,1.78,3
57.0,20.0,1.6,2
48.0,24.0,1.6,2
70.0,26.0,1.7,2
60.0,23.0,1.66,2
42.0,21.0,1.52,1
42.0,21.0,1.52,1
70.0,23.0,1.72,2
63.0,21.0,1.69,2
66.4,22.0,1.7,2
57.0,21.0,1.55,2
58.0,22.0,1.65,2
80.0,38.0,1.56,4
55.0,25.0,1.57,2
55.0,25.0,1.57,2
90.0,22.0,1.88,3
95.0,22.0,1.75,4
88.0,21.0,1.65,4
75.0,21.0,1.75,2
58.0,22.0,1.58,2
51.0,18.0,1.56,2
49.0,22.0,1.5,2
62.0,19.0,1.61,2
57.0,17.0,1.75,2
86.0,15.0,1.65,4
85.0,17.0,1.7,3
53.0,23.0,1.62,2
76.0,19.0,1.63,3
75.0,23.0,1.67,3
95.0,23.0,1.87,3
50.0,21.0,1.75,1
67.0,24.0,1.66,2
90.0,23.0,1.76,3
80.0,18.0,1.75,3
68.0,19.0,1.67,2
61.0,19.0,1.65,2
70.0,20.0,1.72,2
78.0,27.0,1.7,3
53.0,20.0,1.58,2
58.0,23.0,1.62,2
56.0,19.0,1.65,2
66.0,61.0,1.65,2
109.0,30.0,1.77,4
75.0,24.0,1.7,3
72.0,25.0,1.79,2
80.0,44.0,1.6,4
75.0,31.0,1.76,2
68.0,25.0,1.7,2
65.0,23.0,1.89,1
66.0,25.0,1.87,2
93.5,23.0,1.74,4
75.0,34.0,1.68,3
67.0,22.0,1.61,3
70.0,21.0,1.62,3
51.0,24.0,1.56,2
80.0,36.0,1.63,4
61.0,27.0,1.6,2
90.0,32.0,1.67,4
78.0,25.0,1.78,2
59.0,30.0,1.62,2
60.0,38.0,1.5,3
84.0,34.0,1.69,3
94.0,22.0,1.74,4
63.0,31.0,1.68,2
45.0,35.0,1.53,2
60.0,21.0,1.67,2
62.0,40.0,1.55,3
78.0,27.0,1.64,3
72.0,20.0,1.83,2
80.0,55.0,1.65,3
60.0,21.0,1.63,2
75.0,25.0,1.89,2
85.0,35.0,1.77,3
130.0,30.0,1.92,4
72.0,29.0,1.74,2
80.0,20.0,1.65,3
79.0,22.0,1.73,3
77.0,45.0,1.63,3
82.0,22.0,1.72,3
58.0,18.0,1.6,2
59.0,23.0,1.65,2
64.0,18.0,1.74,2
70.0,21.0,1.62,3
59.8,38.0,1.64,2
48.0,18.0,1.57,2
84.0,22.0,1.84,2
84.0,26.0,1.91,2
70.0,21.0,1.62,3
48.0,18.0,1.58,2
67.0,23.0,1.68,2
52.0,22.0,1.68,1
60.0,23.0,1.48,3
70.0,21.0,1.62,3
68.0,31.0,1.62,3
96.0,39.0,1.78,4
98.0,25.0,1.78,4
105.0,35.0,1.78,4
62.0,33.0,1.63,2
56.0,20.0,1.6,2
80.0,26.0,1.75,3
85.0,20.0,1.83,3
68.0,20.0,1.78,2
83.0,23.0,1.6,4
85.0,19.0,1.8,3
74.0,22.0,1.75,2
118.0,41.0,1.75,4
40.0,18.0,1.59,1
60.0,23.0,1.66,2
83.0,23.0,1.63,4
80.0,41.0,1.54,4
102.0,26.0,1.56,4
90.0,29.0,1.69,4
71.0,27.0,1.83,2
78.0,23.0,1.6,4
100.0,19.0,1.75,4
73.0,30.0,1.75,2
65.0,22.0,1.69,2
65.0,22.0,1.69,2
114.0,20.0,1.8,4
51.0,21.0,1.63,2
63.0,24.0,1.5,3
62.0,21.0,1.8,2
53.0,21.0,1.65,2
70.0,21.0,1.68,2
63.0,23.0,1.6,2
75.0,21.0,1.71,3
42.3,21.0,1.5,2
68.0,21.0,1.6,3
78.0,21.0,1.75,3
82.0,23.0,1.72,3
66.5,21.0,1.72,2
63.0,22.0,1.61,2
82.0,23.0,1.63,4
121.0,25.0,1.83,4
50.0,20.0,1.6,2
58.0,24.0,1.62,2
80.0,40.0,1.68,3
120.0,32.0,1.75,4
91.0,20.0,1.9,3
66.0,21.0,1.63,2
50.0,51.0,1.59,2
77.0,34.0,1.68,3
49.0,19.0,1.59,2
70.0,19.0,1.69,2
59.0,21.0,1.66,2
53.0,19.0,1.64,2
53.0,20.0,1.62,2
64.0,19.0,1.7,2
65.0,17.0,1.63,2
66.0,22.0,1.6,3
64.0,20.0,1.63,2
99.0,33.0,1.85,3
49.0,21.0,1.54,2
49.0,20.0,1.64,1
60.0,20.0,1.57,2
52.0,20.0,1.62,2
72.0,21.0,1.72,2
78.0,21.0,1.76,3
75.0,20.0,1.65,3
78.0,20.0,1.67,3
90.0,56.0,1.79,3
47.0,26.0,1.59,2
56.0,22.0,1.64,2
81.0,19.0,1.78,3
85.0,18.0,1.75,3
115.0,19.0,1.85,4
80.0,18.0,1.7,3
91.0,18.0,1.67,4
75.0,21.0,1.72,3
73.0,28.0,1.7,3
70.0,18.0,1.74,2
53.0,23.0,1.74,1
67.0,18.0,1.87,2
50.0,18.0,1.7,1
50.0,39.0,1.65,1
78.0,38.0,1.7,3
60.0,17.0,1.67,2
66.0,23.0,1.72,2
107.0,23.0,1.82,4
50.0,19.0,1.5,2
60.0,18.0,1.7,2
71.0,25.0,1.71,2
61.0,25.0,1.61,2
50.0,18.0,1.5,2
50.0,16.0,1.67,1
67.0,21.0,1.82,2
57.0,32.0,1.57,2
52.0,18.0,1.79,1
62.0,21.0,1.75,2
55.0,18.0,1.7,2
55.0,18.0,1.62,2
60.0,17.0,1.69,2
70.0,20.0,1.77,2
105.0,21.0,1.79,4
61.0,21.0,1.6,2
58.0,18.0,1.6,2
51.0,17.0,1.56,2
79.0,19.0,1.88,2
71.0,16.0,1.82,2
58.0,17.0,1.8,1
65.0,21.0,1.7,2
75.0,19.0,1.82,2
110.0,18.0,1.86,4
58.0,16.0,1.66,2
53.0,21.0,1.53,2
80.0,26.0,1.74,3
80.0,18.0,1.8,2
75.0,23.0,1.7,3
70.0,26.0,1.7,2
55.0,18.0,1.72,2
45.0,16.0,1.84,1
49.0,16.0,1.57,2
85.0,20.0,1.8,3
120.0,23.0,1.75,4
60.0,24.0,1.56,2
48.0,23.0,1.59,2
75.0,20.0,1.8,2
58.0,16.0,1.66,2
57.0,17.0,1.79,1
62.0,17.0,1.72,2
57.0,16.0,1.6,2
56.0,17.0,1.66,2
63.0,26.0,1.65,2
72.0,26.0,1.7,2
75.0,38.0,1.75,2
70.0,18.0,1.75,2
45.0,25.0,1.56,2
63.0,27.0,1.55,3
67.0,21.0,1.67,2
75.0,38.0,1.75,2
56.0,23.0,1.75,1
72.0,18.0,1.8,2
71.0,30.0,1.65,3
58.0,21.0,1.55,2
55.3,18.0,1.7,2
76.0,23.0,1.72,3
74.0,19.0,1.74,2
82.0,19.0,1.65,4
50.0,17.0,1.8,1
56.0,17.0,1.74,2
75.0,27.0,1.85,2
56.0,23.0,1.7,2
53.0,18.0,1.45,3
50.0,19.0,1.7,1
65.0,20.0,1.7,2
64.4,18.0,1.78,2
65.0,17.0,1.6,3
42.0,19.0,1.53,1
72.0,21.0,1.8,2
50.0,20.0,1.6,2
105.0,23.0,1.74,4
66.0,23.0,1.65,2
173.0,18.0,1.87,4
55.0,17.0,1.7,2
47.0,21.0,1.54,2
97.0,17.0,1.8,3
80.0,18.0,1.82,2
125.0,20.0,1.98,4
70.0,17.0,1.75,2
60.0,26.0,1.65,2
53.0,17.0,1.6,2
51.0,24.0,1.6,2
59.0,17.0,1.6,2
62.0,27.0,1.55,3
60.0,17.0,1.9,1
56.0,17.0,1.7,2
110.0,41.0,1.75,4
48.0,33.0,1.56,2
75.0,20.0,1.87,2
80.0,40.0,1.56,4
73.0,37.0,1.65,3
80.0,19.0,1.8,2
86.0,24.0,1.84,3
68.0,24.0,1.7,2
83.0,33.0,1.72,3
63.0,40.0,1.58,3
83.0,37.0,1.68,3
74.0,20.0,1.58,3
60.0,19.0,1.8,2
69.0,17.0,1.62,3
58.0,18.0,1.62,2
56.0,21.0,1.54,2
70.0,18.0,1.76,2
92.0,41.0,1.8,3
60.0,36.0,1.58,2
