exercise,Calories per kg,level
"Cycling, mountain bike, bmx",1.75072971940299,3
"Cycling, <10 mph, leisure bicycling",0.823235629850746,1
"Cycling, >20 mph, racing",3.29497352835821,4
"Cycling, 10-11.9 mph, light",1.23485344477612,3
"Cycling, 12-13.9 mph, moderate",1.64782526567164,3
"Cycling, 14-15.9 mph, vigorous",2.05944308059702,2
"Cycling, 16-19 mph, very fast, racing",2.47106089552239,2
Unicycling,1.02972154029851,1
"Stationary cycling, very light",0.61742672238806,1
"Stationary cycling, light",1.13262599402985,3
"Stationary cycling, moderate",1.44133935522388,3
"Stationary cycling, vigorous",2.16234753432836,2
"Stationary cycling, very vigorous",2.57464235223881,2
"Calisthenics, vigorous, pushups, situps…",1.64782526567164,3
"Calisthenics, light",0.721008179104478,1
"Circuit training, minimal rest",1.64782526567164,3
"Weight lifting, body building, vigorous",1.23485344477612,3
"Weight lifting, light workout",0.61742672238806,1
Health club exercise,1.13262599402985,3
Stair machine,1.85295717014925,3
"Rowing machine, light",0.721008179104478,1
"Rowing machine, moderate",1.44133935522388,3
"Rowing machine, vigorous",1.75072971940299,3
"Rowing machine, very vigorous",2.47106089552239,2
Ski machine,1.44133935522388,3
"Aerobics, low impact",1.02972154029851,1
"Aerobics, high impact",1.44133935522388,3
"Aerobics, step aerobics",1.75072971940299,3
"Aerobics, general",1.33843490149254,3
Jazzercise,1.23485344477612,3
"Stretching, hatha yoga",0.823235629850746,1
Mild stretching,0.515199271641791,1
Instructing aerobic class,1.23485344477612,3
Water aerobics,0.823235629850746,1
"Ballet, twist, jazz, tap",0.927494089552239,1
"Ballroom dancing, slow",0.61742672238806,1
"Ballroom dancing, fast",1.13262599402985,3
"Running, 5 mph (12 minute mile)",1.64782526567164,3
"Running, 5.2 mph (11.5 minute mile)",1.85295717014925,3
"Running, 6 mph (10 min mile)",2.05944308059702,2
"Running, 6.7 mph (9 min mile)",2.2652519880597,2
"Running, 7 mph (8.5 min mile)",2.36815644179104,2
"Running, 7.5mph (8 min mile)",2.57464235223881,2
"Running, 8 mph (7.5 min mile)",2.77977425671642,4
"Running, 8.6 mph (7 min mile)",2.88267871044776,4
"Running, 9 mph (6.5 min mile)",3.08916462089552,4
"Running, 10 mph (6 min mile)",3.29497352835821,4
"Running, 10.9 mph (5.5 min mile)",3.70659134328358,4
"Running, cross country",1.85295717014925,3
"Running, general",1.64782526567164,3
"Running, on a track, team practice",2.05944308059702,2
"Running, stairs, up",3.08916462089552,4
"Track and field (shot, discus)",0.823235629850746,1
"Track and field (high jump, pole vault)",1.23485344477612,3
Track and field (hurdles),2.05944308059702,2
Archery,0.721008179104478,1
Badminton,0.927494089552239,1
"Basketball game, competitive",1.64782526567164,3
"Playing basketball, non game",1.23485344477612,3
"Basketball, officiating",1.44133935522388,3
"Basketball, shooting baskets",0.927494089552239,1
"Basketball, wheelchair",1.33843490149254,3
"Running, training, pushing wheelchair",1.64782526567164,3
Billiards,0.515199271641791,1
Bowling,0.61742672238806,1
"Boxing, in ring",2.47106089552239,2
"Boxing, punching bag",1.23485344477612,3
"Boxing, sparring",1.85295717014925,3
"Coaching: football, basketball, soccer…",0.823235629850746,1
"Cricket (batting, bowling)",1.02972154029851,1
Croquet,0.515199271641791,1
Curling,0.823235629850746,1
Darts (wall or lawn),0.515199271641791,1
Fencing,1.23485344477612,3
"Football, competitive",1.85295717014925,3
"Football, touch, flag, general",1.64782526567164,3
"Football or baseball, playing catch",0.515199271641791,1
"Frisbee playing, general",0.61742672238806,1
"Frisbee, ultimate frisbee",1.64782526567164,3
"Golf, general",0.927494089552239,1
"Golf, walking and carrying clubs",0.927494089552239,1
"Golf, driving range",0.61742672238806,1
"Golf, miniature golf",0.61742672238806,1
"Golf, walking and pulling clubs",0.885519904477612,1
"Golf, using power cart",0.721008179104478,1
Gymnastics,0.823235629850746,1
Hacky sack,0.823235629850746,1
Handball,2.47106089552239,2
"Handball, team",1.64782526567164,3
"Hockey, field hockey",1.64782526567164,3
"Hockey, ice hockey",1.64782526567164,3
"Riding a horse, general",0.823235629850746,1
"Horesback riding, saddling horse",0.721008179104478,1
"Horseback riding, grooming horse",0.721008179104478,1
"Horseback riding, trotting",1.33843490149254,3
"Horseback riding, walking",0.515199271641791,1
"Horse racing, galloping",1.64782526567164,3
"Horse grooming, moderate",1.23485344477612,3
Horseshoe pitching,0.61742672238806,1
Jai alai,2.47106089552239,2
"Martial arts, judo, karate, jujitsu",2.05944308059702,2
"Martial arts, kick boxing",2.05944308059702,2
"Martial arts, tae kwan do",2.05944308059702,2
Krav maga training,2.05944308059702,2
Juggling,0.823235629850746,1
Kickball,1.44133935522388,3
Lacrosse,1.64782526567164,3
Orienteering,1.85295717014925,3
Playing paddleball,1.23485344477612,3
"Paddleball, competitive",2.05944308059702,2
Polo,1.64782526567164,3
"Racquetball, competitive",2.05944308059702,2
Playing racquetball,1.44133935522388,3
"Rock climbing, ascending rock",2.2652519880597,2
"Rock climbing, rappelling",1.64782526567164,3
"Jumping rope, fast",2.47106089552239,2
"Jumping rope, moderate",2.05944308059702,2
"Jumping rope, slow",1.64782526567164,3
Rugby,2.05944308059702,2
"Shuffleboard, lawn bowling",0.61742672238806,1
Skateboarding,1.02972154029851,1
Roller skating,1.44133935522388,3
"Roller blading, in-line skating",2.47106089552239,2
Sky diving,0.61742672238806,1
"Soccer, competitive",2.05944308059702,2
Playing soccer,1.44133935522388,3
Softball or baseball,1.02972154029851,1
"Softball, officiating",0.823235629850746,1
"Softball, pitching",1.23485344477612,3
Squash,2.47106089552239,2
"Table tennis, ping pong",0.823235629850746,1
Tai chi,0.823235629850746,1
Playing tennis,1.44133935522388,3
"Tennis, doubles",1.23485344477612,3
"Tennis, singles",1.64782526567164,3
Trampoline,0.721008179104478,1
"Volleyball, competitive",1.64782526567164,3
Playing volleyball,0.61742672238806,1
"Volleyball, beach",1.64782526567164,3
Wrestling,1.23485344477612,3
Wallyball,1.44133935522388,3
"Backpacking, Hiking with pack",1.44133935522388,3
"Carrying infant, level ground",0.721008179104478,1
"Carrying infant, upstairs",1.02972154029851,1
"Carrying 16 to 24 lbs, upstairs",1.23485344477612,3
"Carrying 25 to 49 lbs, upstairs",1.64782526567164,3
"Standing, playing with children, light",0.576806543283582,1
"Walk/run, playing with children, moderate",0.823235629850746,1
"Walk/run, playing with children, vigorous",1.02972154029851,1
Carrying small children,0.61742672238806,1
"Loading, unloading car",0.61742672238806,1
"Climbing hills, carrying up to 9 lbs",1.44133935522388,3
"Climbing hills, carrying 10 to 20 lb",1.5449208119403,3
"Climbing hills, carrying 21 to 42 lb",1.64782526567164,3
"Climbing hills, carrying over 42 lb",1.85295717014925,3
Walking downstairs,0.61742672238806,1
"Hiking, cross country",1.23485344477612,3
Bird watching,0.515199271641791,1
"Marching, rapidly, military",1.33843490149254,3
"Children's games, hopscotch, dodgeball",1.02972154029851,1
Pushing stroller or walking with children,0.515199271641791,1
Pushing a wheelchair,0.823235629850746,1
Race walking,1.33843490149254,3
"Rock climbing, mountain climbing",1.64782526567164,3
Walking using crutches,1.02972154029851,1
Walking the dog,0.61742672238806,1
"Walking, under 2.0 mph, very slow",0.411617814925373,1
"Walking 2.0 mph, slow",0.515199271641791,1
Walking 2.5 mph,0.61742672238806,1
"Walking 3.0 mph, moderate",0.679710997014925,1
"Walking 3.5 mph, brisk pace",0.782615450746269,1
"Walking 3.5 mph, uphill",1.23485344477612,3
"Walking 4.0 mph, very brisk",1.02972154029851,1
Walking 4.5 mph,1.29713771940299,3
Walking 5.0 mph,1.64782526567164,3
"Boating, power, speed boat",0.515199271641791,1
"Canoeing, camping trip",0.823235629850746,1
"Canoeing, rowing, light",0.61742672238806,1
"Canoeing, rowing, moderate",1.44133935522388,3
"Canoeing, rowing, vigorous",2.47106089552239,2
"Crew, sculling, rowing, competition",2.47106089552239,2
Kayaking,1.02972154029851,1
Paddle boat,0.823235629850746,1
"Windsurfing, sailing",0.61742672238806,1
"Sailing, competition",1.02972154029851,1
"Sailing, yachting, ocean sailing",0.61742672238806,1
"Skiing, water skiing",1.23485344477612,3
Ski mobiling,1.44133935522388,3
"Skin diving, fast",3.29497352835821,4
"Skin diving, moderate",2.57464235223881,2
"Skin diving, scuba diving",1.44133935522388,3
Snorkeling,1.02972154029851,1
"Surfing, body surfing or board surfing",0.61742672238806,1
"Whitewater rafting, kayaking, canoeing",1.02972154029851,1
"Swimming laps, freestyle, fast",2.05944308059702,2
"Swimming laps, freestyle, slow",1.44133935522388,3
Swimming backstroke,1.44133935522388,3
Swimming breaststroke,2.05944308059702,2
Swimming butterfly,2.2652519880597,2
"Swimming leisurely, not laps",1.23485344477612,3
Swimming sidestroke,1.64782526567164,3
Swimming synchronized,1.64782526567164,3
"Swimming, treading water, fast, vigorous",2.05944308059702,2
"Swimming, treading water, moderate",0.823235629850746,1
"Water aerobics, water calisthenics",0.823235629850746,1
Water polo,2.05944308059702,2
Water volleyball,0.61742672238806,1
Water jogging,1.64782526567164,3
"Diving, springboard or platform",0.61742672238806,1
"Ice skating, < 9 mph",1.13262599402985,3
"Ice skating, average speed",1.44133935522388,3
"Ice skating, rapidly",1.85295717014925,3
"Speed skating, ice, competitive",3.08916462089552,4
"Cross country snow skiing, slow",1.44133935522388,3
"Cross country skiing, moderate",1.64782526567164,3
"Cross country skiing, vigorous",1.85295717014925,3
"Cross country skiing, racing",2.88267871044776,4
"Cross country skiing, uphill",3.39787798208955,4
"Snow skiing, downhill skiing, light",1.02972154029851,1
"Downhill snow skiing, moderate",1.23485344477612,3
"Downhill snow skiing, racing",1.64782526567164,3
"Sledding, tobagganing, luge",1.44133935522388,3
Snow shoeing,1.64782526567164,3
Snowmobiling,0.721008179104478,1
General housework,0.721008179104478,1
Cleaning gutters,1.02972154029851,1
Painting,0.927494089552239,1
"Sit, playing with animals",0.515199271641791,1
"Walk / run, playing with animals",0.823235629850746,1
Bathing dog,0.721008179104478,1
"Mowing lawn, walk, power mower",1.13262599402985,3
"Mowing lawn, riding mower",0.515199271641791,1
"Walking, snow blower",0.721008179104478,1
"Riding, snow blower",0.61742672238806,1
Shoveling snow by hand,1.23485344477612,3
